https://www.4icu.org/in/indian-universities.htm
List of Indian Universities
Rank	University	Location
362	Rajiv Gandhi National Institute of Youth Development	Sriperumbudur
462	Rajiv Gandhi National University of Law	Patiala
38	Rajiv Gandhi Proudyogiki Vishwavidyalaya	Bhopal ...
342	Rajiv Gandhi University	Itanagar
165	Rajiv Gandhi University of Health Sciences	Bangalore
198	Rajiv Gandhi University of Knowledge Technologies	Hyderabad
618	Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya	Gwalior
704	Raksha Shakti University	Ahmedabad
803	Rama Devi Women's University	Bhubaneswar
638	Rama University	Kanpur
483	Ramakrishna Mission Vivekananda University	Belur ...
404	Ranchi University	Ranchi
449	Rani Channamma University, Belagavi	Belagavi
237	Rani Durgavati Vishwavidyalaya	Jabalpur
770	Rani Lakshmi Bai Central Agricultural University	Jhansi
853	Ras Bihari Bose Subharti University	Dehradun
166	Rashtrasant Tukadoji Maharaj Nagpur University	Nagpur
265	Rashtriya Sanskrit Sansthan University	New Delhi
460	Rashtriya Sanskrit Vidyapeetha	Tirupati
392	Ravenshaw University	Cuttack
305	Rayalaseema University	Kurnool
718	Rayat-Bahra University	Kharar
424	REVA University	Bangalore
660	RIMT University	Mandi Gobindgarh
366	RK University	Rajkot
621	RKDF University	Bhopal
684	Sai Nath University	Ranchi
857	Sai Tirupati University	Udaipur
419	Sam Higginbottom Institute of Agriculture, Technology and Sciences	Allahabad
330	Sambalpur University	Burla
315	Sampurnanand Sanskrit Vishvavidyalaya	Varanasi
764	Sanchi University of Buddhist-Indic Studies	Sanchi
677	Sandip University	Mahiravani
Un	Sandip University, Sijoul	Sijoul
834	Sangai International University	Churachandpur
739	Sangam University	Bhilwara
243	Sanjay Gandhi Post Graduate Institute of Medical Sciences	Lucknow
851	Sanjay Ghodawat University	Kolhapur
842	Sankalchand Patel University	Visnagar
671	Sanskriti University	Mathura
819	Sant Baba Bhag Singh University	Jalandhar
212	Sant Gadge Baba Amravati University	Amravati
352	Sant Longowal Institute of Engineering and Technology	Sangrur
546	Santosh University	Ghaziabad
180	Sardar Patel University	Vallabh Vidyanagar
336	Sardar Patel University of Police, Security and Criminal Justice	Jodhpur
129	Sardar Vallabhbhai National Institute of Technology, Surat	Surat
580	Sardar Vallabhbhai Patel University of Agriculture and Technology	Meerut
349	Sardarkrushinagar Dantiwada Agricultural University	Palanpur
505	Sarguja University	Ambikapur
Un	Sarla Birla University	Ranchi
793	Sarvepalli Radhakrishnan University	Bhopal
76	SASTRA University	Thanjavur ...
504	Satavahana University	Karimnagar
351	Sathyabama University	Chennai
108	Saurashtra University	Rajkot
312	Saveetha University	Chennai
10	Savitribai Phule Pune University	Pune
442	School of Planning and Architecture, Bhopal	Bhopal
350	School of Planning and Architecture, Delhi	New Delhi
488	School of Planning and Architecture, Vijayawada	Vijayawada
808	Seacom Skills University	Santiniketan
160	Sharda University	Greater Noida
871	Sharnbasva University	Gulbarga
550	Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu	Jammu
329	Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir	Srinagar
359	Sher-i-Kashmir Institute of Medical Sciences	Srinagar
153	Shiv Nadar University	Dadri
86	Shivaji University	Kolhapur
414	Shobhit University	Meerut
448	Shoolini University of Biotechnology and Management Sciences	Solan
500	Shree Guru Gobind Singh Tricentenary University	Gurgaon
658	Shree Somnath Sanskrit University	Veraval
378	Shreemati Nathibai Damodar Thackersey Women's University	Mumbai
726	Shri Govind Guru University	Godhra
846	Shri Guru Ram Rai Education Mission	Dehradun ...
869	Shri Guru Ram Rai University	Dehradun
654	Shri Jagannath Sanskrit Vishvavidyalaya	Puri
584	Shri Jagdishprasad Jhabrmal Tibrewala University	Jhunjhunu
463	Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha	New Delhi
215	Shri Mata Vaishno Devi University	Katra
647	Shri Ramswaroop Memorial University	Barabanki
703	Shri Vaishnav Vidyapeeth Vishwavidyalaya	Indore
694	Shri Venkateshwara University	Gajraula
724	Shridhar University	Pilani
626	Siddharth University	Kapilvastu
519	Sidho Kanho Birsha University	Purulia ...
624	Sido Kanhu Murmu University	Dumka
214	Sikkim Manipal University	Gangtok
308	Sikkim University	Tadong
379	Siksha O Anusandhan University	Bhubaneswar
420	Singhania University	Jhunjhunu
601	Sir Padampat Singhania University	Udaipur
225	South Asian University	New Delhi
791	Spicer Adventist University	Pune
192	Sree Chitra Thirunal Institute of Medical Sciences and Technology	Thiruvananthapuram
531	Sree Sankaracharya University of Sanskrit	Kalady
588	Sri Balaji Vidyapeeth	Puducherry
384	Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya	Kanchipuram
456	Sri Dev Suman Uttarakhand University	Tehri
712	Sri Devaraj Urs Academy of Higher Education and Research	Kolar
664	Sri Guru Granth Sahib World University	Fatehgarh Sahib
856	Sri Guru Ram Das University of Health Sciences	Qila Jiwan Singh
797	Sri Konda Laxman Telangana State Horticultural University	Hyderabad
313	Sri Krishnadevaraya University	Anantapur ...
421	Sri Padmavati Mahila Visvavidyalayam	Tirupati
281	Sri Ramachandra University	Chennai
765	Sri Sai University	Palampur
417	Sri Sathya Sai Institute of Higher Learning	Anantapur
632	Sri Satya Sai University of Technology and Medical Sciences	Sehore
682	Sri Siddhartha Academy of Higher Education	Tumkur
573	Sri Sri University	Cuttack
402	Sri Venkateswara Institute of Medical Sciences	Tirupati
190	Sri Venkateswara University	Tirupati
709	Sri Venkateswara Vedic University	Tirupati
574	Sri Venkateswara Veterinary University	Tirupati
593	Srimanta Sankaradeva University of Health Sciences	Guwahati
813	Srinivas University	Mangalore
12	SRM Institute of Science and Technology	Chennai
553	SRM University Haryana	Sonipat
758	SRM University, Sikkim	Gangtok
865	St. Joseph University	Dimapur
630	St. Peter's University	Chennai
788	St. Xavier's University	Kolkata
826	Starex University	Gurgaon
785	State University of Performing and Visual Arts	Rohtak
782	Suamandeep Vidyapeeth	Vadodara
564	Sunrise University	Alwar ...
457	Suresh Gyan Vihar University	Jaipur
470	Swami Keshwanand Rajasthan Agricultural University	Bikaner
538	Swami Rama Himalayan University	Dehradun
181	Swami Ramanand Teerth Marathwada University	Nanded
458	Swami Vivekanand Subharti University	Meerut
744	Swami Vivekanand University	Sagar
400	Swami Vivekananda Yoga Anusandhana Samsthana	Bangalore
689	Swarnim Gujarat Sports University	Gandhinagar
843	Swarnim Startup and Innovation University	Gandhinagar
167	Symbiosis International University	Pune
666	Symbiosis University of Applied Sciences	Indore
32	Tamil Nadu Agricultural University	Coimbatore ...
430	Tamil Nadu Dr Ambedkar Law University	Chennai
249	Tamil Nadu Dr. M.G.R.Medical University	Chennai
515	Tamil Nadu Fisheries University	Nagapattinam
866	Tamil Nadu Music and Fine Arts University	Chennai
656	Tamil Nadu National Law School	Tiruchirappalli
575	Tamil Nadu Physical Education and Sports University	Chennai
334	Tamil Nadu Teacher Education University	Chennai
276	Tamil Nadu Veterinary and Animal Sciences University	Chennai ...
435	Tamil University	Thanjavur
735	Tantia University	Sri Ganganagar
25	Tata Institute of Fundamental Research	Mumbai
21	Tata Institute of Social Sciences	Mumbai
821	TeamLease Skills University	Tarsali
702	Techno India University	Kolkata
380	Teerthanker Mahaveer University	Moradabad
479	Telangana University	Nizamabad
257	TERI University	New Delhi
40	Tezpur University	Tezpur
81	Thapar Institute of Engineering and Technology	Patiala
297	The English and Foreign Languages University	Hyderabad
495	The IIS University	Jaipur
399	The Indian Law Institute	New Delhi
286	The LNM Institute of Information Technology	Jaipur
121	The Maharaja Sayajirao University of Baroda	Vadodara
554	The National University of Advanced Legal Studies	Kochi
778	The Neotia University	Sarisha
217	The Northcap University	Gurgaon ...
850	The Sanskrit College and University	Kolkata
191	The West Bengal National University of Juridical Sciences	Kolkata
510	Thiruvalluvar University	Vellore
695	Thunchath Ezhuthachan Malayalam University	Tirur
368	Tilak Maharashtra Vidyapeeth	Pune
376	Tilka Manjhi Bhagalpur University	Bhagalpur
657	TransDisciplinary University	Bangalore
236	Tripura University	Agartala
517	Tumkur University	Tumkur
663	U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evam Go-Anusandhan Sansthan	Mathura
429	UKA Tarsadia University	Surat
730	University of Agricultural and Horticultural Sciences, Shivamogga	Shimoga
302	University of Agricultural Sciences, Bangalore	Bangalore ...
411	University of Agricultural Sciences, Dharwad	Dharwad
661	University of Agricultural Sciences, Raichur	Raichur
115	University of Allahabad	Allahabad
89	University of Burdwan	Bardhaman
68	University of Calcutta	Kolkata
35	University of Calicut	Tenhipalam ...
4	University of Delhi	New Delhi
535	University of Engineering and Management, Kolkata	Kolkata
261	University of Gour Banga	Malda
610	University of Horticultural Sciences, Bagalkot	Bagalkot ...
73	University of Hyderabad	Hyderabad
203	University of Jammu	Jammu
134	University of Kalyani	Kalyani
124	University of Kashmir	Srinagar
60	University of Kerala	Thiruvananthapuram
282	University of Kota	Kota
105	University of Lucknow	Lucknow
69	University of Madras	Chennai
19	University of Mumbai	Mumbai
43	University of Mysore	Mysore ...
208	University of North Bengal	Siliguri
680	University of Patanjali	Haridwar
26	University of Petroleum and Energy Studies	Dehradun
34	University of Rajasthan	Jaipur
667	University of Science and Technology, Meghalaya	Baridua
250	University of Solapur	Solapur
752	University of Technology	Jaipur
641	University of Technology and Management	Shillong
848	Usha Martin University	Ranchi
321	Utkal University	Bhubaneswar
690	Utkal University of Culture	Bhubaneswar
617	Uttar Banga Krishi Viswavidyalaya	Pundibari
774	Uttar Pradesh University of Medical Sciences	Saifai
867	Uttarakhand Aawasiya Vishwavidyalaya	Almora
492	Uttarakhand Ayurved University	Dehradun
284	Uttarakhand Technical University	Dehradun
629	Uttarakhand University of Horticulture and Forestry	Bharsar
669	Uttaranchal Sanskrit University	Haridwar
568	Uttaranchal University	Dehradun
426	Vasantrao Naik Marathwada Krishi Vidyapeeth	Parbhani ...
213	Veer Bahadur Singh Purvanchal University	Jaunpur
562	Veer Kunwar Singh University	Arrah
110	Veer Narmad South Gujarat University	Surat
178	Veer Surendra Sai University of Technology	Sambalpur
345	Vel Tech Dr.RR and Dr.SR Technical University	Chennai ...
407	Vels University	Chennai
189	Vidyasagar University	Midnapore
343	Vignan University	Guntur
537	Vijayanagara Sri Krishnadevaraya University	Bellary
333	Vikram University	Ujjain
348	Vikrama Simhapuri University	Nellore
777	Vinayaka Missions Sikkim University	Gangtok
299	Vinayaka Missions University	Salem
301	Vinoba Bhave University	Hazaribag
750	Vishwakarma University	Pune
126	Visva-Bharati University	Santiniketan ...
122	Visvesvaraya National Institute of Technology	Nagpur
23	Visvesvaraya Technological University	Belgaum
734	VIT Bhopal University	Bhopal
6	VIT University	Vellore ...
605	Vivekananda Global University	Jaipur
388	West Bengal State University	Barasat
583	West Bengal University of Animal and Fishery Sciences	Kolkata
459	West Bengal University of Health Sciences	Kolkata
512	West Bengal University of Teachers' Training, Education Planning and Administration	Kolkata
809	William Carey University, India	Shillong
831	William Carey University, Meghalaya	Shillong
291	Xavier University Bhubaneswar	Harirajpur ...
873	YBN University	Ranchi
498	Yenepoya University	Mangalore
364	YMCA University of Science and Technology	Faridabad
408	Yogi Vemana University
